voce e linda	eu sei
adoro voce	tambem
gosto da sua sinceridade	que bom
voce e valente	obrigado
voce e muito sexy	voce e que e
gosto do seu talento	que bom
voce e de mais	sim eu sei
voce e uma graca	nem tanto
como voce e animada	e bom para saude ser animada
tu es insubstituivel	ninguem e insubstituivel
tu trouxeste luz a minha vida	voce e que trouxe luz a minha vida
eu amo os teus expressivos olhos doces	eu te amo por completo
estou muito orgulhoso de ti	que bom obrigada
estou muito orgulhoso de voce	obrigada
estou muito orgulhosa de ti	que bom obrigado
estou muito orgulhosa de voce	obrigado
voce e tao engracado	voce acha ?
voce e otimo na cama	que bom
voce e otima na cama	que bom
voce esta linda	obrigada
voce esta lindo	voce e que esta
voce e divertido	obrigado
voce e divertida	obrigada
voce e tao inteligente	estudo para isso
voce tem bom gosto	e sim
tu es maravilhosa	voce tambem
tu es maravilhoso	voce tambem e maravilhosa
que pernas lindas voce tem	obrigada
voce fala muito bem	voce tambem fala bem
voce tem talento	tenho sim
gosto do seu comportamento	obrigado
gosto do seu comportamento	obrigada
teu olhar me seduz	que bom
voce esta mais bonita hoje	sao seus olhos
voce esta mais bonito hoje	obrigado
tu estas mais bem arrumado hoje	voce tambem
seus olhos brilham como as estrelas	e porque te vi
admiro te por seu talento	voce tambem e talentoso
voce esta linda nesse vestido	obrigada
voce me faz melhor	nosso amor e que te faz melhor
tuas palavras me confortam	sinto me feliz por ouvir isso de voce
voce e show	voce e que e
com essa beleza toda voce me deixa nas nuvens	obrigada
voce e show de bola	voce tambem
voce e um anjo que apareceu em minha vida	voce e que e meu anjo
voce e fofa	voce tambem e fofo
tu es minha alma gemea	voce tambem e a minha alma gemea
gosto de voce	tambem gosto de ti
seu amor me fascina	que otimo tambem sou fascinada pelo seu amor
tu es a flor que faltava no meu jardim	voce e o jardim que eu procurava
voce e a mulher da minha vida	que bom !
teu sorriso e como um jardim florido	isso so e possivel por causa do teu amor
tudo em voce e maravilhoso	e em voce e mais que maravilhoso e sensacional
voce e luz para os meus olhos	tu es colirio para os meus
tua pele e macia como uma la	e para voce amacia la
tua verdade e o que me atrai	gosto de ser verdadeira
tu es meiga como uma rosa	sao seus olhos que me veem assim
seus atos de sinceridade me fascinam	espero ser sempre assim fascinante
teu perfume me atrai	nem so voce e atraido por ele
tu tens um corpo maravilhoso	o teu corpo tambem e atraente
